"ISO3","Version","Gas","Year","Category","CFluxes_yr"
"DZA","V1.0 (NGHGI 2023)","CO2",2006,"FOREST",-7.12629
"DZA","V1.0 (NGHGI 2023)","CO2",2006,"DEFORESTATION",0
"DZA","V1.0 (NGHGI 2023)","CO2",2007,"LULUCF",-3.89741
"DZA","V1.0 (NGHGI 2023)","CO2",2007,"FOREST",-3.89741
"DZA","V1.0 (NGHGI 2023)","CO2",2007,"DEFORESTATION",0
"DZA","V1.0 (NGHGI 2023)","CO2",2008,"LULUCF",-6.44748
"DZA","V1.0 (NGHGI 2023)","CO2",2008,"FOREST",-6.44748
"DZA","V1.0 (NGHGI 2023)","CO2",2008,"DEFORESTATION",0
"DZA","V1.0 (NGHGI 2023)","CO2",2009,"LULUCF",-7.05246
"DZA","V1.0 (NGHGI 2023)","CO2",2009,"FOREST",-7.05246
"DZA","V1.0 (NGHGI 2023)","CO2",2009,"DEFORESTATION",0
"DZA","V1.0 (NGHGI 2023)","CO2",2010,"LULUCF",-7.72587
"DZA","V1.0 (NGHGI 2023)","CO2",2010,"FOREST",-7.72587
"DZA","V1.0 (NGHGI 2023)","CO2",2010,"DEFORESTATION",0
"DZA","V1.0 (NGHGI 2023)","CO2",2011,"LULUCF",-8.92484
"DZA","V1.0 (NGHGI 2023)","CO2",2011,"FOREST",-8.92484
"DZA","V1.0 (NGHGI 2023)","CO2",2011,"DEFORESTATION",0
"DZA","V1.0 (NGHGI 2023)","CO2",2012,"LULUCF",-1.09023
"DZA","V1.0 (NGHGI 2023)","CO2",2012,"FOREST",-1.09023
"DZA","V1.0 (NGHGI 2023)","CO2",2012,"DEFORESTATION",0
"DZA","V1.0 (NGHGI 2023)","CO2",2013,"LULUCF",-10.83835
"DZA","V1.0 (NGHGI 2023)","CO2",2013,"FOREST",-10.83835
"DZA","V1.0 (NGHGI 2023)","CO2",2013,"DEFORESTATION",0
"DZA","V1.0 (NGHGI 2023)","CO2",2014,"LULUCF",-8.9046
"DZA","V1.0 (NGHGI 2023)","CO2",2014,"FOREST",-8.9046
"DZA","V1.0 (NGHGI 2023)","CO2",2014,"DEFORESTATION",0
"DZA","V1.0 (NGHGI 2023)","CO2",2015,"LULUCF",-12.19433
"DZA","V1.0 (NGHGI 2023)","CO2",2015,"FOREST",-12.19433
"DZA","V1.0 (NGHGI 2023)","CO2",2015,"DEFORESTATION",0
"DZA","V1.0 (NGHGI 2023)","CO2",2016,"LULUCF",-11.02069
"DZA","V1.0 (NGHGI 2023)","CO2",2016,"FOREST",-11.02069
"DZA","V1.0 (NGHGI 2023)","CO2",2016,"DEFORESTATION",0
"DZA","V1.0 (NGHGI 2023)","CO2",2017,"LULUCF",-7.23471
"DZA","V1.0 (NGHGI 2023)","CO2",2017,"FOREST",-7.23471
"DZA","V1.0 (NGHGI 2023)","CO2",2017,"DEFORESTATION",0
"DZA","V1.0 (NGHGI 2023)","CO2",2018,"LULUCF",-10.35957
"DZA","V1.0 (NGHGI 2023)","CO2",2018,"FOREST",-10.35957
"DZA","V1.0 (NGHGI 2023)","CO2",2018,"DEFORESTATION",0
"DZA","V1.0 (NGHGI 2023)","CO2",2019,"LULUCF",-10.70734
"DZA","V1.0 (NGHGI 2023)","CO2",2019,"FOREST",-10.70734
"DZA","V1.0 (NGHGI 2023)","CO2",2019,"DEFORESTATION",0
"DZA","V1.0 (NGHGI 2023)","CO2",2020,"LULUCF",8.93341
"DZA","V1.0 (NGHGI 2023)","CO2",2020,"FOREST",8.93341
"DZA","V1.0 (NGHGI 2023)","CO2",2020,"DEFORESTATION",0
"DZA","V1.0 (NGHGI 2023)","CO2",2021,"LULUCF",8.93341
"DZA","V1.0 (NGHGI 2023)","CO2",2021,"FOREST",8.93341
"DZA","V1.0 (NGHGI 2023)","CO2",2021,"DEFORESTATION",0
"DZA","V1.0 (NGHGI 2023)","CO2",2022,"LULUCF",8.93341
"DZA","V1.0 (NGHGI 2023)","CO2",2022,"FOREST",8.93341
"DZA","V1.0 (NGHGI 2023)","CO2",2022,"DEFORESTATION",0
"AND","V1.0 (NGHGI 2023)","CO2",2000,"LULUCF",0.141
"AND","V1.0 (NGHGI 2023)","CO2",2000,"FOREST",0.141
"AND","V1.0 (NGHGI 2023)","CO2",2000,"DEFORESTATION",0
"AND","V1.0 (NGHGI 2023)","CO2",2001,"LULUCF",0.14179
"AND","V1.0 (NGHGI 2023)","CO2",2001,"FOREST",0.14179
"AND","V1.0 (NGHGI 2023)","CO2",2001,"DEFORESTATION",0
"AND","V1.0 (NGHGI 2023)","CO2",2002,"LULUCF",0.14179
"AND","V1.0 (NGHGI 2023)","CO2",2002,"FOREST",0.14179
"AND","V1.0 (NGHGI 2023)","CO2",2002,"DEFORESTATION",0
"AND","V1.0 (NGHGI 2023)","CO2",2003,"LULUCF",0.14179
"AND","V1.0 (NGHGI 2023)","CO2",2003,"FOREST",0.14179
"AND","V1.0 (NGHGI 2023)","CO2",2003,"DEFORESTATION",0
"AND","V1.0 (NGHGI 2023)","CO2",2004,"LULUCF",0.14319
"AND","V1.0 (NGHGI 2023)","CO2",2004,"FOREST",0.14319
"AND","V1.0 (NGHGI 2023)","CO2",2004,"DEFORESTATION",0
"AND","V1.0 (NGHGI 2023)","CO2",2005,"LULUCF",0.14319
"AND","V1.0 (NGHGI 2023)","CO2",2005,"FOREST",0.14319
"AND","V1.0 (NGHGI 2023)","CO2",2005,"DEFORESTATION",0
"AND","V1.0 (NGHGI 2023)","CO2",2006,"LULUCF",0.14179
"AND","V1.0 (NGHGI 2023)","CO2",2006,"FOREST",0.14179
"AND","V1.0 (NGHGI 2023)","CO2",2006,"DEFORESTATION",0
"AND","V1.0 (NGHGI 2023)","CO2",2007,"LULUCF",0.14179
"AND","V1.0 (NGHGI 2023)","CO2",2007,"FOREST",0.14179
"AND","V1.0 (NGHGI 2023)","CO2",2007,"DEFORESTATION",0
"AND","V1.0 (NGHGI 2023)","CO2",2008,"LULUCF",0.14179
"AND","V1.0 (NGHGI 2023)","CO2",2008,"FOREST",0.14179
"AND","V1.0 (NGHGI 2023)","CO2",2008,"DEFORESTATION",0
"AND","V1.0 (NGHGI 2023)","CO2",2009,"LULUCF",0.14179
"AND","V1.0 (NGHGI 2023)","CO2",2009,"FOREST",0.14179
"AND","V1.0 (NGHGI 2023)","CO2",2009,"DEFORESTATION",0
"AND","V1.0 (NGHGI 2023)","CO2",2010,"LULUCF",0.14179
"AND","V1.0 (NGHGI 2023)","CO2",2010,"FOREST",0.14179
"AND","V1.0 (NGHGI 2023)","CO2",2010,"DEFORESTATION",0
"AND","V1.0 (NGHGI 2023)","CO2",2011,"LULUCF",0.13576
"AND","V1.0 (NGHGI 2023)","CO2",2011,"FOREST",0.13576
"AND","V1.0 (NGHGI 2023)","CO2",2011,"DEFORESTATION",0
"AND","V1.0 (NGHGI 2023)","CO2",2012,"LULUCF",0.13587
"AND","V1.0 (NGHGI 2023)","CO2",2012,"FOREST",0.13587
"AND","V1.0 (NGHGI 2023)","CO2",2012,"DEFORESTATION",0
"AND","V1.0 (NGHGI 2023)","CO2",2013,"LULUCF",0.13526
"AND","V1.0 (NGHGI 2023)","CO2",2013,"FOREST",0.13526
"AND","V1.0 (NGHGI 2023)","CO2",2013,"DEFORESTATION",0
"AND","V1.0 (NGHGI 2023)","CO2",2014,"LULUCF",0.13527
"AND","V1.0 (NGHGI 2023)","CO2",2014,"FOREST",0.13527
"AND","V1.0 (NGHGI 2023)","CO2",2014,"DEFORESTATION",0
"AND","V1.0 (NGHGI 2023)","CO2",2015,"LULUCF",0.13538
"AND","V1.0 (NGHGI 2023)","CO2",2015,"FOREST",0.13538
"AND","V1.0 (NGHGI 2023)","CO2",2015,"DEFORESTATION",0
"AND","V1.0 (NGHGI 2023)","CO2",2016,"LULUCF",0.13545
"AND","V1.0 (NGHGI 2023)","CO2",2016,"FOREST",0.13545
"AND","V1.0 (NGHGI 2023)","CO2",2016,"DEFORESTATION",0
"AND","V1.0 (NGHGI 2023)","CO2",2017,"LULUCF",0.1356
"AND","V1.0 (NGHGI 2023)","CO2",2017,"FOREST",0.1356
"AND","V1.0 (NGHGI 2023)","CO2",2017,"DEFORESTATION",0
"AND","V1.0 (NGHGI 2023)","CO2",2018,"LULUCF",0.13662
"AND","V1.0 (NGHGI 2023)","CO2",2018,"FOREST",0.13662
"AND","V1.0 (NGHGI 2023)","CO2",2018,"DEFORESTATION",0
"AND","V1.0 (NGHGI 2023)","CO2",2019,"LULUCF",0.13582
"AND","V1.0 (NGHGI 2023)","CO2",2019,"FOREST",0.13582
"AND","V1.0 (NGHGI 2023)","CO2",2019,"DEFORESTATION",0
"AND","V1.0 (NGHGI 2023)","CO2",2020,"LULUCF",0.13582
"AND","V1.0 (NGHGI 2023)","CO2",2020,"FOREST",0.13582
"AND","V1.0 (NGHGI 2023)","CO2",2020,"DEFORESTATION",0
"AND","V1.0 (NGHGI 2023)","CO2",2021,"LULUCF",0.13582
"AND","V1.0 (NGHGI 2023)","CO2",2021,"FOREST",0.13582
"AND","V1.0 (NGHGI 2023)","CO2",2021,"DEFORESTATION",0
"AND","V1.0 (NGHGI 2023)","CO2",2022,"LULUCF",0.13582
"AND","V1.0 (NGHGI 2023)","CO2",2022,"FOREST",0.13582
"AND","V1.0 (NGHGI 2023)","CO2",2022,"DEFORESTATION",0
"AGO","V1.0 (NGHGI 2023)","CO2",2000,"LULUCF",40.062605
"AGO","V1.0 (NGHGI 2023)","CO2",2000,"FOREST",-2
"AGO","V1.0 (NGHGI 2023)","CO2",2000,"DEFORESTATION",42.062605
"AGO","V1.0 (NGHGI 2023)","CO2",2000,"OTHER",0
"AGO","V1.0 (NGHGI 2023)","CO2",2001,"LULUCF",40.062605
"AGO","V1.0 (NGHGI 2023)","CO2",2001,"FOREST",-2
"AGO","V1.0 (NGHGI 2023)","CO2",2001,"DEFORESTATION",42.062605
"AGO","V1.0 (NGHGI 2023)","CO2",2001,"OTHER",0
"AGO","V1.0 (NGHGI 2023)","CO2",2002,"LULUCF",40.062605
"AGO","V1.0 (NGHGI 2023)","CO2",2002,"FOREST",-2
"AGO","V1.0 (NGHGI 2023)","CO2",2002,"DEFORESTATION",42.062605
"AGO","V1.0 (NGHGI 2023)","CO2",2002,"OTHER",0
"AGO","V1.0 (NGHGI 2023)","CO2",2003,"LULUCF",40.062605
"AGO","V1.0 (NGHGI 2023)","CO2",2003,"FOREST",-2
"AGO","V1.0 (NGHGI 2023)","CO2",2003,"DEFORESTATION",42.062605
"AGO","V1.0 (NGHGI 2023)","CO2",2003,"OTHER",0
"AGO","V1.0 (NGHGI 2023)","CO2",2004,"LULUCF",40.062605
"AGO","V1.0 (NGHGI 2023)","CO2",2004,"FOREST",-2
"AGO","V1.0 (NGHGI 2023)","CO2",2004,"DEFORESTATION",42.062605
"AGO","V1.0 (NGHGI 2023)","CO2",2004,"OTHER",0
"AGO","V1.0 (NGHGI 2023)","CO2",2005,"LULUCF",40.062605
"AGO","V1.0 (NGHGI 2023)","CO2",2005,"FOREST",-2
"AGO","V1.0 (NGHGI 2023)","CO2",2005,"DEFORESTATION",42.062605
"AGO","V1.0 (NGHGI 2023)","CO2",2005,"OTHER",0
"AGO","V1.0 (NGHGI 2023)","CO2",2006,"LULUCF",39.907397
"AGO","V1.0 (NGHGI 2023)","CO2",2006,"FOREST",-2
"AGO","V1.0 (NGHGI 2023)","CO2",2006,"DEFORESTATION",41.907397
"AGO","V1.0 (NGHGI 2023)","CO2",2006,"OTHER",0
"AGO","V1.0 (NGHGI 2023)","CO2",2007,"LULUCF",40.153357
"AGO","V1.0 (NGHGI 2023)","CO2",2007,"FOREST",-2
"AGO","V1.0 (NGHGI 2023)","CO2",2007,"DEFORESTATION",42.153357
"AGO","V1.0 (NGHGI 2023)","CO2",2007,"OTHER",0
"AGO","V1.0 (NGHGI 2023)","CO2",2008,"LULUCF",40.065406
"AGO","V1.0 (NGHGI 2023)","CO2",2008,"FOREST",-2
"AGO","V1.0 (NGHGI 2023)","CO2",2008,"DEFORESTATION",42.065406
"AGO","V1.0 (NGHGI 2023)","CO2",2008,"OTHER",0
"AGO","V1.0 (NGHGI 2023)","CO2",2009,"LULUCF",40.233866
"AGO","V1.0 (NGHGI 2023)","CO2",2009,"FOREST",-2
"AGO","V1.0 (NGHGI 2023)","CO2",2009,"DEFORESTATION",42.233866
"AGO","V1.0 (NGHGI 2023)","CO2",2009,"OTHER",0
"AGO","V1.0 (NGHGI 2023)","CO2",2010,"LULUCF",40.189886
"AGO","V1.0 (NGHGI 2023)","CO2",2010,"FOREST",-2
"AGO","V1.0 (NGHGI 2023)","CO2",2010,"DEFORESTATION",42.189886
"AGO","V1.0 (NGHGI 2023)","CO2",2010,"OTHER",0
"AGO","V1.0 (NGHGI 2023)","CO2",2011,"LULUCF",70.552361
"AGO","V1.0 (NGHGI 2023)","CO2",2011,"FOREST",7
"AGO","V1.0 (NGHGI 2023)","CO2",2011,"DEFORESTATION",63.552361
"AGO","V1.0 (NGHGI 2023)","CO2",2011,"OTHER",0
"AGO","V1.0 (NGHGI 2023)","CO2",2012,"LULUCF",70.392155
"AGO","V1.0 (NGHGI 2023)","CO2",2012,"FOREST",7
"AGO","V1.0 (NGHGI 2023)","CO2",2012,"DEFORESTATION",63.392155
"AGO","V1.0 (NGHGI 2023)","CO2",2012,"OTHER",0
"AGO","V1.0 (NGHGI 2023)","CO2",2013,"LULUCF",70.417382
